ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
85,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55,H1
86,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55,H2
87,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58,H3
88,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58,H4
89,20.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58,H5
90,20.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58,H6
91,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52,H7
92,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52,H8
93,20.0,60.0,85.23,85.23,129.55,1.0,1.0,1.52,H9
94,20.0,60.0,85.23,85.23,129.55,1.0,1.0,1.52,H10
95,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52,H11
96,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52,H12
